chr	start	end	CpG
chr1	7305733	7305734	102
chr1	7312331	7312332	103
chr1	7455464	7455465	104
chr1	7483150	7483151	105
chr1	7488329	7488330	106
chr1	7488514	7488515	107
chr1	7608675	7608676	108
chr1	7609718	7609719	109
chr1	7617183	7617184	110
chr1	7619325	7619326	111
chr1	7629145	7629146	112
chr1	7702435	7702436	113
chr1	7711257	7711258	114
chr1	7720327	7720328	115
chr1	7745382	7745383	116
chr1	7776248	7776249	117
chr1	7776253	7776254	118
chr1	7791417	7791418	119
chr1	7791959	7791960	120
chr1	7843741	7843742	121
chr1	7847353	7847354	122
chr1	7885917	7885918	123
chr1	7982947	7982948	124
chr1	7982973	7982974	125
chr1	8124166	8124167	126
chr1	8127421	8127422	127
chr1	8156418	8156419	128
chr1	8180655	8180656	129
chr1	8217654	8217655	130
chr1	8240040	8240041	131
chr1	8240050	8240051	132
chr1	8442193	8442194	133
chr1	8515570	8515571	134
chr1	8585117	8585118	135
chr1	8638670	8638671	136
chr1	8690887	8690888	137
chr1	8701789	8701790	138
chr1	8713444	8713445	139
chr1	8744181	8744182	140
chr1	8787561	8787562	141
chr1	8924977	8924978	142
chr1	8962098	8962099	143
chr1	8992416	8992417	144
chr1	9038477	9038478	145
chr1	9058334	9058335	146
chr1	9058382	9058383	147
chr1	9061660	9061661	148
chr1	9061687	9061688	149
chr1	9061694	9061695	150
chr1	9142585	9142586	151
chr1	9177329	9177330	152
chr1	9177718	9177719	153
chr1	9236126	9236127	154
chr1	9240923	9240924	155
chr1	9240931	9240932	156
chr1	9244945	9244946	157
chr1	9290813	9290814	158
chr1	9299924	9299925	159
chr1	9361530	9361531	160
chr1	9407656	9407657	161
chr1	9551339	9551340	162
chr1	9601272	9601273	163
chr1	9734827	9734828	164
chr1	9748857	9748858	165
chr1	9896013	9896014	166
chr1	9957303	9957304	167
chr1	9983266	9983267	168
chr1	10004871	10004872	169
chr1	10125303	10125304	170
chr1	10173359	10173360	171
chr1	10257118	10257119	172
chr1	10290014	10290015	173
chr1	10423618	10423619	174
chr1	10514543	10514544	175
chr1	10695249	10695250	176
chr1	10695251	10695252	177
chr1	10709714	10709715	178
chr1	10715038	10715039	179
chr1	10787041	10787042	180
chr1	10806017	10806018	181
chr1	10806206	10806207	182
chr1	10827122	10827123	183
chr1	10861919	10861920	184
chr1	10924211	10924212	185
chr1	10968039	10968040	186
chr1	10971289	10971290	187
chr1	10976740	10976741	188
chr1	10976764	10976765	189
chr1	10978677	10978678	190
chr1	11012488	11012489	191
chr1	11016412	11016413	192
chr1	11073443	11073444	193
chr1	11262230	11262231	194
chr1	11352740	11352741	195
chr1	11565497	11565498	196
chr1	11572101	11572102	197
chr1	11601362	11601363	198
chr1	11623861	11623862	199
chr1	11626795	11626796	200
chr1	11644225	11644226	201
chr1	11677493	11677494	202
chr1	11678603	11678604	203
chr1	11681172	11681173	204
chr1	11682225	11682226	205
chr1	11682377	11682378	206
chr1	11683163	11683164	207
chr1	11714637	11714638	208
chr1	11715506	11715507	209
chr1	11716724	11716725	210
chr1	11720421	11720422	211
chr1	11720425	11720426	212
chr1	11720446	11720447	213
chr1	11720462	11720463	214
chr1	11774525	11774526	215
chr1	11782467	11782468	216
chr1	11782478	11782479	217
chr1	11783524	11783525	218
chr1	11783549	11783550	219
chr1	11783594	11783595	220
chr1	11807966	11807967	221
chr1	11855863	11855864	222
chr1	11857154	11857155	223
chr1	11892737	11892738	224
chr1	11949453	11949454	225
chr1	11949458	11949459	226
chr1	11960729	11960730	227
chr1	12177986	12177987	228
chr1	12217526	12217527	229
chr1	12267699	12267700	230
chr1	12283531	12283532	231
chr1	12287379	12287380	232
chr1	12338614	12338615	233
chr1	12379383	12379384	234
chr1	12729721	12729722	235
chr1	12746123	12746124	236
chr1	12746142	12746143	237
chr1	12763536	12763537	238
chr1	12788273	12788274	239
chr1	12840701	12840702	240
chr1	12840774	12840775	241
chr1	12884674	12884675	242
chr1	12888883	12888884	243
chr1	12933797	12933798	244
chr1	13039930	13039931	245
chr1	13075860	13075861	246
chr1	13077367	13077368	247
chr1	13123024	13123025	248
chr1	13127490	13127491	249
chr1	13134811	13134812	250
chr1	13191531	13191532	251
chr1	13249951	13249952	252
chr1	13289314	13289315	253
chr1	13289336	13289337	254
chr1	13292317	13292318	255
chr1	13371030	13371031	256
chr1	13378348	13378349	257
chr1	13381186	13381187	258
chr1	13384098	13384099	259
chr1	13421937	13421938	260
chr1	13434332	13434333	261
chr1	13477284	13477285	262
chr1	13526084	13526085	263
chr1	13575593	13575594	264
chr1	13621655	13621656	265
chr1	13655755	13655756	266
chr1	13670160	13670161	267
chr1	13724713	13724714	268
chr1	13816577	13816578	269
chr1	13862409	13862410	270
chr1	13892055	13892056	271
chr1	13892086	13892087	272
chr1	13892093	13892094	273
chr1	13952551	13952552	274
chr1	13998561	13998562	275
chr1	13998714	13998715	276
chr1	14032538	14032539	277
chr1	14085499	14085500	278
chr1	14086848	14086849	279
chr1	14087039	14087040	280
chr1	14092906	14092907	281
chr1	14097763	14097764	282
chr1	14160248	14160249	283
chr1	14267714	14267715	284
chr1	14305212	14305213	285
chr1	14305214	14305215	286
chr1	14346187	14346188	287
chr1	14350155	14350156	288
chr1	14366169	14366170	289
chr1	14366179	14366180	290
chr1	14420361	14420362	291
chr1	14450943	14450944	292
chr1	14481307	14481308	293
chr1	14496627	14496628	294
chr1	14649319	14649320	295
chr1	14675256	14675257	296
chr1	14756429	14756430	297
chr1	14758898	14758899	298
chr1	14794888	14794889	299
chr1	14819696	14819697	300
chr1	14831892	14831893	301
chr1	14919315	14919316	302
chr1	14973556	14973557	303
chr1	14973566	14973567	304
chr1	14975933	14975934	305
chr1	15089918	15089919	306
chr1	15089953	15089954	307
chr1	15231205	15231206	308
chr1	15232940	15232941	309
chr1	15284184	15284185	310
chr1	15529778	15529779	311
chr1	15529782	15529783	312
chr1	15555965	15555966	313
chr1	15583765	15583766	314
chr1	15711126	15711127	315
chr1	15753098	15753099	316
chr1	15786527	15786528	317
chr1	15810911	15810912	318
chr1	15828178	15828179	319
chr1	15834272	15834273	320
chr1	15837956	15837957	321
chr1	15837992	15837993	322
chr1	15874899	15874900	323
chr1	15901785	15901786	324
chr1	15959169	15959170	325
chr1	16020653	16020654	326
chr1	16034991	16034992	327
chr1	16060948	16060949	328
chr1	16105247	16105248	329
chr1	16166156	16166157	330
chr1	16291199	16291200	331
chr1	16297765	16297766	332
chr1	16483288	16483289	333
chr1	16528609	16528610	334
chr1	16721235	16721236	335
chr1	16739365	16739366	336
chr1	16745110	16745111	337
chr1	16745115	16745116	338
chr1	16745123	16745124	339
chr1	16805277	16805278	340
chr1	16829177	16829178	341
chr1	16829184	16829185	342
chr1	16833606	16833607	343
chr1	16865571	16865572	344
chr1	16891953	16891954	345
chr1	16897857	16897858	346
chr1	16939371	16939372	347
chr1	16953678	16953679	348
chr1	17061743	17061744	349
chr1	17145793	17145794	350
chr1	17346440	17346441	351
chr1	17379073	17379074	352
chr1	17411673	17411674	353
chr1	17434372	17434373	354
chr1	17434441	17434442	355
chr1	17495656	17495657	356
chr1	17634068	17634069	357
chr1	17656920	17656921	358
chr1	17674252	17674253	359
chr1	17685030	17685031	360
chr1	17685145	17685146	361
chr1	17727649	17727650	362
chr1	17898011	17898012	363
chr1	17898626	17898627	364
chr1	17922169	17922170	365
chr1	17922190	17922191	366
chr1	17957375	17957376	367
chr1	17958301	17958302	368
chr1	17958311	17958312	369
chr1	17970933	17970934	370
chr1	18123262	18123263	371
chr1	18235307	18235308	372
chr1	18238577	18238578	373
chr1	18324760	18324761	374
chr1	18357543	18357544	375
chr1	18416234	18416235	376
chr1	18472162	18472163	377
chr1	18473372	18473373	378
chr1	18475637	18475638	379
chr1	18476360	18476361	380
chr1	18477463	18477464	381
chr1	18487121	18487122	382
chr1	18537677	18537678	383
chr1	18537868	18537869	384
chr1	18537889	18537890	385
chr1	18537893	18537894	386
chr1	18538049	18538050	387
chr1	18641408	18641409	388
chr1	18648890	18648891	389
chr1	18663839	18663840	390
chr1	18696507	18696508	391
chr1	18847053	18847054	392
chr1	18873993	18873994	393
chr1	18893100	18893101	394
chr1	18932088	18932089	395
chr1	18932106	18932107	396
chr1	18959591	18959592	397
chr1	19043741	19043742	398
chr1	19097474	19097475	399
chr1	19111146	19111147	400
chr1	19111150	19111151	401
chr1	19111531	19111532	402
chr1	19129225	19129226	403
chr1	19212472	19212473	404
chr1	19214027	19214028	405
chr1	19214032	19214033	406
chr1	19283442	19283443	407
chr1	19372442	19372443	408
chr1	19381471	19381472	409
chr1	19449919	19449920	410
chr1	19471604	19471605	411
chr1	19496747	19496748	412
chr1	19579357	19579358	413
chr1	19595785	19595786	414
chr1	19599348	19599349	415
chr1	19599379	19599380	416
chr1	19712046	19712047	417
chr1	19724705	19724706	418
chr1	19783123	19783124	419
chr1	19839028	19839029	420
chr1	19839228	19839229	421
chr1	19844706	19844707	422
chr1	19994432	19994433	423
chr1	19998964	19998965	424
chr1	19999474	19999475	425
chr1	20004893	20004894	426
chr1	20432774	20432775	427
chr1	20433431	20433432	428
chr1	20459064	20459065	429
chr1	20487555	20487556	430
chr1	20525429	20525430	431
chr1	20526468	20526469	432
chr1	20530713	20530714	433
chr1	20568453	20568454	434
chr1	20670235	20670236	435
chr1	20682806	20682807	436
chr1	20689210	20689211	437
chr1	20701137	20701138	438
chr1	20705633	20705634	439
chr1	20705640	20705641	440
chr1	20705662	20705663	441
chr1	20802743	20802744	442
chr1	20824976	20824977	443
chr1	20852326	20852327	444
chr1	20860991	20860992	445
chr1	20882123	20882124	446
chr1	20891758	20891759	447
chr1	20899996	20899997	448
chr1	20901304	20901305	449
chr1	20912792	20912793	450
chr1	20912798	20912799	451
chr1	20912800	20912801	452
chr1	20912804	20912805	453
chr1	20929942	20929943	454
chr1	20933580	20933581	455
chr1	20971201	20971202	456
chr1	20998019	20998020	457
chr1	21004363	21004364	458
chr1	21031263	21031264	459
chr1	21041952	21041953	460
chr1	21158439	21158440	461
chr1	21198801	21198802	462
chr1	21201790	21201791	463
chr1	21201797	21201798	464
chr1	21201810	21201811	465
chr1	21201814	21201815	466
chr1	21229552	21229553	467
chr1	21335230	21335231	468
chr1	21335326	21335327	469
chr1	21403132	21403133	470
chr1	21449554	21449555	471
chr1	21501548	21501549	472
chr1	21647749	21647750	473
chr1	22001930	22001931	474
chr1	22061251	22061252	475
chr1	22061262	22061263	476
chr1	22098017	22098018	477
chr1	22869612	22869613	478
chr1	22922395	22922396	479
chr1	22922419	22922420	480
chr1	22922434	22922435	481
chr1	22922438	22922439	482
chr1	23004348	23004349	483
chr1	23012876	23012877	484
chr1	23061048	23061049	485
chr1	23135676	23135677	486
chr1	23264097	23264098	487
chr1	23293652	23293653	488
chr1	23301455	23301456	489
chr1	23372860	23372861	490
chr1	23375181	23375182	491
chr1	23377110	23377111	492
chr1	23425584	23425585	493
chr1	23669133	23669134	494
chr1	23744942	23744943	495
chr1	23786064	23786065	496
chr1	23856670	23856671	497
chr1	23996013	23996014	498
chr1	24112385	24112386	499
chr1	24133864	24133865	500
chr1	24133994	24133995	501
chr1	24343809	24343810	502
chr1	24369852	24369853	503
chr1	24406411	24406412	504
chr1	24440410	24440411	505
chr1	24615995	24615996	506
chr1	24616007	24616008	507
chr1	24616302	24616303	508
chr1	24721472	24721473	509
chr1	24726177	24726178	510
chr1	24726182	24726183	511
chr1	24726591	24726592	512
chr1	24812296	24812297	513
chr1	24854504	24854505	514
chr1	24881931	24881932	515
chr1	25054138	25054139	516
chr1	25114937	25114938	517
chr1	25120162	25120163	518
chr1	25120172	25120173	519
chr1	25120177	25120178	520
chr1	25120196	25120197	521
chr1	25273077	25273078	522
chr1	25277000	25277001	523
chr1	25290334	25290335	524
chr1	25318130	25318131	525
chr1	25409253	25409254	526
chr1	25474377	25474378	527
chr1	25474856	25474857	528
chr1	25480662	25480663	529
chr1	25480666	25480667	530
chr1	25591171	25591172	531
chr1	25591192	25591193	532
chr1	25625367	25625368	533
chr1	25643944	25643945	534
chr1	25697335	25697336	535
chr1	25836123	25836124	536
chr1	25887312	25887313	537
chr1	25911024	25911025	538
chr1	25912196	25912197	539
chr1	25924367	25924368	540
chr1	26042078	26042079	541
chr1	26042080	26042081	542
chr1	26138808	26138809	543
chr1	26235547	26235548	544
chr1	26291491	26291492	545
chr1	26315666	26315667	546
chr1	26328243	26328244	547
chr1	26328270	26328271	548
chr1	26414500	26414501	549
chr1	26418209	26418210	550
chr1	26470243	26470244	551
chr1	26471351	26471352	552
chr1	26475850	26475851	553
chr1	26585454	26585455	554
chr1	26619269	26619270	555
chr1	26801534	26801535	556
chr1	26978983	26978984	557
chr1	26985537	26985538	558
chr1	27009634	27009635	559
chr1	27032896	27032897	560
chr1	27089367	27089368	561
chr1	27109880	27109881	562
chr1	27126702	27126703	563
chr1	27160441	27160442	564
chr1	27199764	27199765	565
chr1	27237936	27237937	566
chr1	27275950	27275951	567
chr1	27276249	27276250	568
chr1	27442237	27442238	569
chr1	27533639	27533640	570
chr1	27729667	27729668	571
chr1	27731116	27731117	572
chr1	27732075	27732076	573
chr1	27732152	27732153	574
chr1	27737636	27737637	575
chr1	27847049	27847050	576
chr1	27989877	27989878	577
chr1	27993875	27993876	578
chr1	28076825	28076826	579
chr1	28190867	28190868	580
chr1	28192710	28192711	581
chr1	28192731	28192732	582
chr1	28192827	28192828	583
chr1	28399076	28399077	584
chr1	28401940	28401941	585
chr1	28712409	28712410	586
chr1	28737292	28737293	587
chr1	28890764	28890765	588
chr1	29000163	29000164	589
chr1	29073802	29073803	590
chr1	29219268	29219269	591
chr1	29236420	29236421	592
chr1	29276000	29276001	593
chr1	29336222	29336223	594
chr1	29339449	29339450	595
chr1	29342336	29342337	596
chr1	29368431	29368432	597
chr1	29368623	29368624	598
chr1	29408628	29408629	599
chr1	29554116	29554117	600
chr1	29611013	29611014	601
chr1	29657763	29657764	602
chr1	29698469	29698470	603
chr1	29698564	29698565	604
chr1	29698664	29698665	605
chr1	29804757	29804758	606
chr1	29895001	29895002	607
chr1	29895029	29895030	608
chr1	29942868	29942869	609
chr1	30006292	30006293	610
chr1	30043137	30043138	611
chr1	30090791	30090792	612
chr1	30228948	30228949	613
chr1	30270602	30270603	614
chr1	30301013	30301014	615
chr1	30306407	30306408	616
chr1	30310949	30310950	617
chr1	30310956	30310957	618
chr1	30310963	30310964	619
chr1	30310972	30310973	620
chr1	30335353	30335354	621
chr1	30336623	30336624	622
chr1	30371542	30371543	623
chr1	30399271	30399272	624
chr1	30462859	30462860	625
chr1	30463397	30463398	626
chr1	30725951	30725952	627
chr1	30726396	30726397	628
chr1	30730717	30730718	629
chr1	30730838	30730839	630
chr1	30731185	30731186	631
chr1	30731763	30731764	632
chr1	30735203	30735204	633
chr1	30740041	30740042	634
chr1	30762707	30762708	635
chr1	30769344	30769345	636
chr1	31042249	31042250	637
chr1	31162702	31162703	638
chr1	31384251	31384252	639
chr1	31540452	31540453	640
chr1	31584896	31584897	641
chr1	31585066	31585067	642
chr1	31585738	31585739	643
chr1	31612847	31612848	644
chr1	31701328	31701329	645
chr1	31701398	31701399	646
chr1	31701445	31701446	647
chr1	31701458	31701459	648
chr1	31701462	31701463	649
chr1	31792648	31792649	650
chr1	31792783	31792784	651
chr1	31803272	31803273	652
chr1	31819433	31819434	653
chr1	31844819	31844820	654
chr1	31961842	31961843	655
chr1	32065777	32065778	656
chr1	32073354	32073355	657
chr1	32074270	32074271	658
chr1	32074329	32074330	659
chr1	32074379	32074380	660
chr1	32100813	32100814	661
chr1	32304667	32304668	662
chr1	32436423	32436424	663
chr1	32438699	32438700	664
chr1	32439262	32439263	665
chr1	32443326	32443327	666
chr1	32482327	32482328	667
chr1	32553268	32553269	668
chr1	32821825	32821826	669
chr1	32911649	32911650	670
chr1	32926848	32926849	671
chr1	32989526	32989527	672
chr1	33020191	33020192	673
chr1	33046173	33046174	674
chr1	33100602	33100603	675
chr1	33256510	33256511	676
chr1	33299770	33299771	677
chr1	33305256	33305257	678
chr1	33364534	33364535	679
chr1	33408008	33408009	680
chr1	33408029	33408030	681
chr1	33408033	33408034	682
chr1	33543766	33543767	683
chr1	33576493	33576494	684
chr1	33601261	33601262	685
chr1	33621930	33621931	686
chr1	33671231	33671232	687
chr1	33684592	33684593	688
chr1	33692613	33692614	689
chr1	33698125	33698126	690
chr1	33714864	33714865	691
chr1	33716518	33716519	692
chr1	33736477	33736478	693
chr1	33736482	33736483	694
chr1	33736515	33736516	695
chr1	33736905	33736906	696
chr1	33748856	33748857	697
chr1	33804177	33804178	698
chr1	33810399	33810400	699
chr1	33838839	33838840	700
chr1	33883587	33883588	701
chr1	33883595	33883596	702
chr1	33909568	33909569	703
chr1	33938339	33938340	704
chr1	34117904	34117905	705
chr1	34143927	34143928	706
chr1	34418259	34418260	707
chr1	34418278	34418279	708
chr1	34425698	34425699	709
chr1	34425700	34425701	710
chr1	34472674	34472675	711
chr1	34472810	34472811	712
chr1	34472831	34472832	713
chr1	34509603	34509604	714
chr1	34516243	34516244	715
chr1	34520179	34520180	716
chr1	34560932	34560933	717
chr1	34575137	34575138	718
chr1	34592092	34592093	719
chr1	34724591	34724592	720
chr1	34776608	34776609	721
chr1	34778125	34778126	722
chr1	34809508	34809509	723
chr1	34813978	34813979	724
chr1	34851326	34851327	725
chr1	34892579	34892580	726
chr1	34900177	34900178	727
chr1	34994882	34994883	728
chr1	35011971	35011972	729
chr1	35043451	35043452	730
chr1	35051082	35051083	731
chr1	35096689	35096690	732
chr1	35104234	35104235	733
chr1	35139343	35139344	734
chr1	35140266	35140267	735
chr1	35209255	35209256	736
chr1	35450593	35450594	737
chr1	35678486	35678487	738
chr1	35686095	35686096	739
chr1	35794958	35794959	740
chr1	35808263	35808264	741
chr1	35808282	35808283	742
chr1	35818073	35818074	743
chr1	35823667	35823668	744
chr1	35845233	35845234	745
chr1	35931324	35931325	746
chr1	35940830	35940831	747
chr1	35945376	35945377	748
chr1	35987827	35987828	749
chr1	36003715	36003716	750
chr1	36032227	36032228	751
chr1	36071047	36071048	752
chr1	36236276	36236277	753
chr1	36255944	36255945	754
chr1	36256069	36256070	755
chr1	36269538	36269539	756
chr1	36269567	36269568	757
chr1	36271711	36271712	758
chr1	36305177	36305178	759
chr1	36307858	36307859	760
chr1	36313952	36313953	761
chr1	36485765	36485766	762
chr1	36525332	36525333	763
chr1	36539515	36539516	764
chr1	36637778	36637779	765
chr1	36651786	36651787	766
chr1	36664977	36664978	767
chr1	36700553	36700554	768
chr1	36701288	36701289	769
chr1	36701697	36701698	770
chr1	36746208	36746209	771
chr1	36770357	36770358	772
chr1	36802943	36802944	773
chr1	36841362	36841363	774
chr1	36946794	36946795	775
chr1	36957254	36957255	776
chr1	36957310	36957311	777
chr1	37059828	37059829	778
chr1	37212768	37212769	779
chr1	37266321	37266322	780
chr1	37288146	37288147	781
chr1	37393231	37393232	782
chr1	37402257	37402258	783
chr1	37530420	37530421	784
chr1	37551035	37551036	785
chr1	37635618	37635619	786
chr1	37635800	37635801	787
chr1	37638673	37638674	788
chr1	37665855	37665856	789
chr1	37666530	37666531	790
chr1	37675557	37675558	791
chr1	37729080	37729081	792
chr1	37840010	37840011	793
chr1	37949665	37949666	794
chr1	37960746	37960747	795
chr1	37995662	37995663	796
chr1	38104098	38104099	797
chr1	38210173	38210174	798
chr1	38210255	38210256	799
chr1	38220730	38220731	800
chr1	38497889	38497890	801
chr1	38572027	38572028	802
chr1	38572047	38572048	803
chr1	38629564	38629565	804
chr1	38654618	38654619	805
chr1	38760604	38760605	806
chr1	38787611	38787612	807
chr1	38884076	38884077	808
chr1	38998699	38998700	809
chr1	39030465	39030466	810
chr1	39055679	39055680	811
chr1	39153672	39153673	812
chr1	39178551	39178552	813
chr1	39192743	39192744	814
chr1	39204663	39204664	815
chr1	39283671	39283672	816
chr1	39330459	39330460	817
chr1	39345354	39345355	818
chr1	39362845	39362846	819
chr1	39381187	39381188	820
chr1	39381225	39381226	821
chr1	39385058	39385059	822
chr1	39399097	39399098	823
chr1	39399229	39399230	824
chr1	39503331	39503332	825
chr1	39570333	39570334	826
chr1	39595215	39595216	827
chr1	39603356	39603357	828
chr1	39614291	39614292	829
chr1	39709016	39709017	830
chr1	39709108	39709109	831
chr1	39720946	39720947	832
chr1	39720953	39720954	833
chr1	39720960	39720961	834
chr1	39720964	39720965	835
chr1	39734290	39734291	836
chr1	39734478	39734479	837
chr1	39835303	39835304	838
chr1	39835465	39835466	839
chr1	39862550	39862551	840
chr1	39862557	39862558	841
chr1	39911433	39911434	842
chr1	39947565	39947566	843
chr1	39965701	39965702	844
chr1	40045131	40045132	845
chr1	40063812	40063813	846
chr1	40205173	40205174	847
chr1	40252619	40252620	848
chr1	40314268	40314269	849
chr1	40358804	40358805	850
chr1	40383044	40383045	851
chr1	40394813	40394814	852
chr1	40402647	40402648	853
chr1	40415019	40415020	854
chr1	40471309	40471310	855
chr1	40604579	40604580	856
chr1	40681543	40681544	857
chr1	40707670	40707671	858
chr1	40786736	40786737	859
chr1	40788235	40788236	860
chr1	40832679	40832680	861
chr1	40867617	40867618	862
chr1	40880150	40880151	863
chr1	40881035	40881036	864
chr1	40948867	40948868	865
chr1	41019793	41019794	866
chr1	41089753	41089754	867
chr1	41378826	41378827	868
chr1	41493127	41493128	869
chr1	41502445	41502446	870
chr1	41581959	41581960	871
chr1	41586232	41586233	872
chr1	41594074	41594075	873
chr1	41898763	41898764	874
chr1	41928088	41928089	875
chr1	42111307	42111308	876
chr1	42124399	42124400	877
chr1	42124430	42124431	878
chr1	42145505	42145506	879
chr1	42168030	42168031	880
chr1	42181231	42181232	881
chr1	42182894	42182895	882
chr1	42188851	42188852	883
chr1	42243983	42243984	884
chr1	42319255	42319256	885
chr1	42324394	42324395	886
chr1	42334945	42334946	887
chr1	42382354	42382355	888
chr1	42382481	42382482	889
chr1	42386527	42386528	890
chr1	42430555	42430556	891
chr1	42486371	42486372	892
chr1	42489522	42489523	893
chr1	42507939	42507940	894
chr1	42684598	42684599	895
chr1	42685205	42685206	896
chr1	42700733	42700734	897
chr1	42702558	42702559	898
chr1	42703633	42703634	899
chr1	42797633	42797634	900
chr1	42797731	42797732	901
chr1	42827003	42827004	902
chr1	42859566	42859567	903
chr1	43035857	43035858	904
chr1	43049994	43049995	905
chr1	43050050	43050051	906
chr1	43118164	43118165	907
chr1	43156424	43156425	908
chr1	43163239	43163240	909
chr1	43164169	43164170	910
chr1	43168239	43168240	911
chr1	43168745	43168746	912
chr1	43171631	43171632	913
chr1	43239019	43239020	914
chr1	43253488	43253489	915
chr1	43270092	43270093	916
chr1	43295136	43295137	917
chr1	43306114	43306115	918
chr1	43306198	43306199	919
chr1	43341642	43341643	920
chr1	43343875	43343876	921
chr1	43345228	43345229	922
chr1	43366771	43366772	923
chr1	43398668	43398669	924
chr1	43674380	43674381	925
chr1	43696618	43696619	926
chr1	43704141	43704142	927
chr1	43777689	43777690	928
chr1	43778954	43778955	929
chr1	43816991	43816992	930
chr1	43816994	43816995	931
chr1	43820220	43820221	932
chr1	43823804	43823805	933
chr1	43833897	43833898	934
chr1	43904718	43904719	935
chr1	43906447	43906448	936
chr1	43907260	43907261	937
chr1	43925711	43925712	938
chr1	43942600	43942601	939
chr1	44034963	44034964	940
chr1	44212804	44212805	941
chr1	44213401	44213402	942
chr1	44213403	44213404	943
chr1	44248556	44248557	944
chr1	44257823	44257824	945
chr1	44261603	44261604	946
chr1	44274071	44274072	947
chr1	44343347	44343348	948
chr1	44354736	44354737	949
chr1	44367202	44367203	950
chr1	44368222	44368223	951
chr1	44370319	44370320	952
chr1	44370592	44370593	953
chr1	44375062	44375063	954
chr1	44375064	44375065	955
chr1	44376030	44376031	956
chr1	44376228	44376229	957
chr1	44380052	44380053	958
chr1	44404884	44404885	959
chr1	44417955	44417956	960
chr1	44438964	44438965	961
chr1	44480953	44480954	962
chr1	44502750	44502751	963
chr1	44518829	44518830	964
chr1	44519975	44519976	965
chr1	44607406	44607407	966
chr1	44608486	44608487	967
chr1	44632197	44632198	968
chr1	44636612	44636613	969
chr1	44728601	44728602	970
chr1	44728638	44728639	971
chr1	44728658	44728659	972
chr1	44728669	44728670	973
chr1	44728684	44728685	974
chr1	44728704	44728705	975
chr1	44728718	44728719	976
chr1	44746684	44746685	977
chr1	44783985	44783986	978
chr1	44820105	44820106	979
chr1	44837509	44837510	980
chr1	44882142	44882143	981
chr1	44898274	44898275	982
chr1	44898615	44898616	983
chr1	44906467	44906468	984
chr1	45001874	45001875	985
chr1	45127852	45127853	986
chr1	45141818	45141819	987
chr1	45158427	45158428	988
chr1	45166207	45166208	989
chr1	45231416	45231417	990
chr1	45233668	45233669	991
chr1	45247396	45247397	992
chr1	45248846	45248847	993
chr1	45252058	45252059	994
chr1	45266635	45266636	995
chr1	45337635	45337636	996
chr1	45359555	45359556	997
